id,name,year,clean_author_name
973,"Piotr Indyk",2015,"Piotr Indyk"
974,"Ratan K. Guha",2015,"Ratan K. Guha"
975,"Santosh Vempala",2015,"Santosh Vempala"
976,"Shmuel Sagiv",2015,"Shmuel Sagiv"
977,"Sriram Rajamani",2015,"Sriram Rajamani"
978,"Tandy J. Warnow",2015,"Tandy J. Warnow"
979,"Tei-Wei Kuo",2015,"Tei-Wei Kuo"
980,"Ueli Maurer",2015,"Ueli Maurer"
981,"Victor Miller",2015,"Victor Miller"
982,"Wang Chiew Tan",2015,"Wang Chiew Tan"
983,"Xavier Leroy",2015,"Xavier Leroy"
984,"Yunhao Liu 0001",2015,"Yunhao Liu"
985,"Abigail Sellen",2016,"Abigail Sellen"
986,"Adrian Perrig",2016,"Adrian Perrig"
987,"Allison Druin",2016,"Allison Druin"
988,"Andre Seznec",2016,"Andre Seznec"
989,"Anne-Marie Kermarrec",2016,"Anne-Marie Kermarrec"
990,"Carla E. Brodley",2016,"Carla E. Brodley"
991,"Carlo Tomasi",2016,"Carlo Tomasi"
992,"Christoforos E. Kozyrakis",2016,"Christoforos E. Kozyrakis"
993,"Dan Boneh",2016,"Dan Boneh"
994,"Daniel Jackson 0001",2016,"Daniel Jackson"
995,"David Peleg",2016,"David Peleg"
996,"Erik D. Demaine",2016,"Erik D. Demaine"
997,"Fr̩do Durand",2016,"Fr̩do Durand"
998,"Furong Huang",2016,"Furong Huang"
999,"Ganesan Ramalingam",2016,"Ganesan Ramalingam"
1000,"Holly E. Rushmeier",2016,"Holly E. Rushmeier"
